Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,Overall,Overall,1443,15.4,14.4,16.4,3664,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,04,BO1,CAT1,_MENT14D,RESP224,"(34.865970280000454, -111.76381127699972)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,3,,,,3705,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE06,CAT4,_MENT14D,RESP223,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,3,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE05,CAT4,_MENT14D,RESP224,"(32.84057112200048, -86.63186076199969)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,3,,,,3702,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE05,CAT4,_MENT14D,RESP223,"(34.865970280000454, -111.76381127699972)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,11,,,,3704,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE06,CAT4,_MENT14D,RESP222,"(32.84057112200048, -86.63186076199969)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,11,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE04,CAT4,_MENT14D,RESP224,"(34.865970280000454, -111.76381127699972)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"$25,000-$34,999",Household Income,284,25.9,22.2,29.6,3732,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,04,INCOME03,CAT6,_MENT14D,RESP223,"(34.865970280000454, -111.76381127699972)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,0,,,,3702,%,Crude Prevalence,***,No responses for this data cell,BRFSS,CLASS20,TOPIC71,01,RACE05,CAT4,_MENT14D,RESP223,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,9,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE04,CAT4,_MENT14D,RESP224,"(32.84057112200048, -86.63186076199969)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,13,,,,3700,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE04,CAT4,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,10,,,,3705,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE06,CAT4,_MENT14D,RESP223,"(34.865970280000454, -111.76381127699972)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"$200,000+",Household Income,12,,,,3745,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,INCOME07,CAT6,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,2,,,,3703,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE05,CAT4,_MENT14D,RESP224,"(64.84507995700051, -147.72205903599973)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),Zero days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,5,,,,3701,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE05,CAT4,_MENT14D,RESP222,"(32.84057112200048, -86.63186076199969)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"White, non-Hispanic",Race/Ethnicity,966,15.4,14.2,16.6,3691,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,04,RACE01,CAT4,_MENT14D,RESP224,"(34.865970280000454, -111.76381127699972)"
2021,AZ,Arizona,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"Other, non-Hispanic",Race/Ethnicity,14,,,,3706,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,04,RACE06,CAT4,_MENT14D,RESP224,"(34.865970280000454, -111.76381127699972)"
2021,AK,Alaska,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Native Hawaiian or other Pacific Islander, non-Hispanic",Race/Ethnicity,8,,,,3702,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,02,RACE05,CAT4,_MENT14D,RESP223,"(64.84507995700051, -147.72205903599973)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"Asian, non-Hispanic",Race/Ethnicity,10,,,,3699,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE04,CAT4,_MENT14D,RESP223,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),14+ days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,8,,,,3697,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE03,CAT4,_MENT14D,RESP224,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,"American Indian or Alaskan Native, non-Hispanic",Race/Ethnicity,8,,,,3696,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS20,TOPIC71,01,RACE03,CAT4,_MENT14D,RESP223,"(32.84057112200048, -86.63186076199969)"
2021,AL,Alabama,Days of Poor Health,Healthy Days,Days when mental health status not good (variable calculated from one or more BRFSS questions),1-13 days when mental health not good,35-44,Age Group,150,28.2,23.5,32.9,3678,%,Crude Prevalence,,,BRFSS,CLASS20,TOPIC71,01,AGE03,CAT3,_MENT14D,RESP223,"(32.84057112200048, -86.63186076199969)"
