,ADHD,Alcohol,Anxiety,Bipolar,Conduct,Delirium,Depressive,ODD,Other,PDD,Personality,Schizophrenia
AGE_10,43.24,0,2.44,6.47,4.48,0.42,2.43,1.83,0.86,2.09,7.2,0.92
AGE_11,37.38,0.01,0.72,0.97,3.7,2.52,0.86,1.3,0.23,2.21,0.6,0.77
AGE_12,34.84,0.33,0.45,1.15,1.32,1.61,0.73,0.05,0.11,0.02,0.73,0.06
AGE_13,28.11,0.26,4.83,9.31,1.59,0.07,5.11,0.38,0.08,0.8,9.75,0.44
AGE_14,27.16,0.93,1.62,11.16,0.73,39.97,2.45,0.38,0.28,0.97,11.59,0.31
AGE_3,17.85,0,36.53,0.47,37.1,1.19,36,20.22,9.84,39.51,0.08,0.53
AGE_4,15.87,0.59,6.72,4.09,2.76,0.98,6.37,0.1,2.71,5.89,3.39,0
AGE_5,15.51,1.02,1.13,6.15,0.13,5.02,1.62,3.48,0.12,0.03,7.2,0.13
AGE_6,12.97,0.01,0.35,12.19,3.64,7.18,0.24,8.09,0.02,3.17,11.55,1.31
AGE_7,11.56,0,2.98,3.71,6.26,5.85,2.32,7.97,2.36,5.5,3.75,1.81
AGE_8,11.51,0.28,0.94,0.01,6.18,1.54,0.57,4.88,2.16,5.5,0.05,0.08
AGE_9,11.51,0.22,1.26,0.05,6.05,2.17,1.54,4.2,0.9,1.72,0.1,0.35
EDUC_1,11.24,0.01,0.05,0.21,0.55,5.83,0.73,3.87,16.19,2.36,0.14,0.11
EDUC_2,8.22,0,2.67,0,8.86,13.2,1.81,6.58,3.01,10.19,0,1.69
EDUC_3,6.64,0,28.3,4.24,21.65,2.34,29.86,5.26,6.62,35.11,4.49,0
EDUC_4,5.99,0.2,1.75,2.21,25.66,1.42,1.88,16.77,2.35,8.33,1.61,0.06
EDUC_5,5.71,0.2,14.86,11.8,16.35,1.85,15.01,10.95,26.23,16.66,9.35,0.13
EMPLOY_1,5.44,0.4,6.23,0.31,14.69,0.53,5.41,7.31,16.79,2.25,0.34,0.1
EMPLOY_2,5.35,0.72,1,0,2.03,4.82,1.14,5.02,1.57,14.22,0.32,0.18
EMPLOY_3,4.5,0,2.48,1.22,2.61,0.18,1.32,0.84,4.74,0.06,2.25,0.22
EMPLOY_4,3.51,0.03,0.35,11.28,5.95,9.44,0.4,15.05,0.9,0.93,9.98,1.83
EMPLOY_5,3.5,0.69,5.66,12.07,26.22,15.89,4.19,30.79,18.41,12.8,17.28,1.27
ETHNIC_1,3.25,1.14,3.7,0.05,0,0.03,4.64,0,0.01,1.58,0.38,0.91
ETHNIC_2,2.32,74.11,0.33,0.16,1.31,1.18,0.08,6.78,2.45,0.18,0.57,65.61
ETHNIC_3,2.31,2.91,3.11,0.62,1.39,0.75,3.08,0.83,1.18,1.12,3.14,1.14
ETHNIC_4,2.05,20.69,5.09,0.56,1.65,0.15,5.89,2.43,2.08,1.95,4.14,15.99
GENDER_1,1.75,0.57,0.91,10.05,0.01,18.17,0.31,0.21,5.63,0.01,6.33,0
GENDER_2,1.58,0.57,0.91,10.05,0.01,18.17,0.31,0.21,5.63,0.01,6.33,0
LIVARAG_1,1.39,0.04,0.44,2.72,5.28,4.61,0.32,4.27,0.26,0,3.15,0.09
LIVARAG_2,1.26,0.44,2.88,1.91,1.49,1.8,1.96,4.17,9.26,2.05,1.17,1.3
LIVARAG_3,1.15,0.55,2.66,0.08,0.12,4.59,1.9,1.95,14.11,2.24,0.04,2.35
MARSTAT_1,0.94,0.12,27.91,40.46,34.47,39.25,28.17,9.87,31.98,6.29,31.94,0.31
MARSTAT_2,0.73,0.06,8.8,4.99,14.05,5.62,7.92,3.81,15.19,4.38,1.94,0
MARSTAT_3,0.61,0.09,1.49,0.15,5.67,0.03,0.96,3.37,3.81,1.2,0.96,0.2
MARSTAT_4,0.49,0.76,9.32,34.36,12.72,24.65,11.29,2.9,8.48,1.09,36.5,0.19
RACE_1,0.44,0.33,0.52,0.1,0.45,0.07,0.43,0.02,0.49,0.12,0.3,0.05
RACE_2,0.35,0.1,0,0.01,0.12,12.1,0,0.6,0,0.04,0.11,0.47
RACE_3,0.32,1.2,1.15,9.67,16.03,0.84,2.01,5.9,5.55,0.48,3.59,4.44
RACE_4,0.32,0.1,0.54,0.61,0.08,2.61,0.27,1.1,0.02,0.27,0.71,0.05
RACE_5,0.26,2.06,6.29,9.5,10.68,0.72,7.93,0.24,3.89,1.02,7.28,0.26
RACE_6,0.12,15.18,4.67,0.44,0.05,0.24,5.31,7.49,0.01,0.56,3.23,24.7
REGION_0,0.11,74.28,0.03,1.27,1.08,0.84,0,5.04,2.47,0.34,3.56,60.98
REGION_1,0.06,0.29,0.43,1.08,0.59,2.2,0.71,3.72,0.31,3.22,0.12,3.14
REGION_2,0.04,0.15,0.98,1.24,0.17,3.41,0.84,12.68,16.18,3.91,1.18,0.24
REGION_3,0.04,3.49,4.75,5.56,5.83,0.27,2.85,16.83,4.42,9.24,2.77,7.63
REGION_4,0.03,1.76,3.69,2.28,4.86,7.95,2.45,0.15,4.47,0.01,0.43,0.32
